address,latitude,longitude,formatted_address
"Санкт-Петербург, Дворцовая пл.",59.938991,30.315473,"Россия, Санкт-Петербург, Дворцовая площадь"
"ул. Хользунова, 68",51.702908,39.171155,"Россия, Воронеж, улица Хользунова, 68"
"Республика Татарстан (Татарстан), Казань, ул. Баумана",55.792422,49.111534,"Россия, Республика Татарстан (Татарстан), Казань, улица Баумана"
"Свердловская область, Каменск-Уральский, посёлок Трубный, улица Зои Космодемьянской, 21",56.439841,61.888183,"Россия, Свердловская область, Каменск-Уральский, посёлок Трубный, улица Зои Космодемьянской, 21"
"Карачаево-Черкесская Республика, Черкесск, ул. Лободина",44.203139,42.045638,"Россия, Карачаево-Черкесская Республика, Черкесск, улица Лободина"
"Краснодарский край, Сочи, мкр-н Завокзальный, Тоннельная ул., 12",43.586321,39.730617,"Россия, Краснодарский край, Сочи, микрорайон Завокзальный, Тоннельная улица, 12"
"Московская область, Одинцово, Центральная площадь",55.678996,37.263798,"Россия, Московская область, Одинцово, Центральная площадь"
"Ленинградская обл., Гатчинский муниципальный округ, Гатчина, ул. Карла Маркса",59.565807,30.127527,"Россия, Ленинградская область, Гатчина, улица Карла Маркса"
"Садовая ул., 35",59.928009,30.320216,"Россия, Санкт-Петербург, Садовая улица, 35"
"Ханты-Мансийский автономный округ — Югра, Сургутский район, городское поселение Фёдоровский, посёлок городского типа Фёдоровский, улица Ленина, 11",61.605324,73.725706,"Россия, Ханты-Мансийский автономный округ — Югра, Сургутский район, городское поселение Фёдоровский, посёлок городского типа Фёдоровский, улица Ленина, 11"
"Санкт-Петербург, ул. Бабушкина, 69",59.877326,30.441776,"Россия, Санкт-Петербург, улица Бабушкина, 69"
"Санкт-Петербург, проспект Ветеранов",59.83309,30.173791,"Россия, Санкт-Петербург, проспект Ветеранов"
"Челябинская обл., Челябинск, посёлок Новосинеглазово, Ключевая ул., 14",55.041498,61.381749,"Россия, Челябинск, посёлок Новосинеглазово, Ключевая улица, 14"
"ул. Хошимина, 6к1",60.052268,30.3193,"Россия, Санкт-Петербург, улица Хошимина, 6к1"
"Самарская обл., Самара, ул. Луначарского",53.209179,50.152367,"Россия, Самара, улица Луначарского"
"Самарская область, Тольятти, 12-й квартал, бульвар Гая, 9",53.530252,49.319872,"Россия, Самарская область, Тольятти, 12-й квартал, бульвар Гая, 9"
"Тульская область, Киреевский район, сельское поселение Бородинское, рабочий посёлок Бородинский, Луговая улица, 32",53.999187,37.815956,"Россия, Тульская область, Киреевский район, сельское поселение Бородинское, рабочий посёлок Бородинский, Луговая улица, 32"
"Красноярск, улица Крупской, 12А, подъезд 3",56.02268,92.777464,"Россия, Красноярск, улица Крупской, 12А, подъезд 3"
"Краснодарский край, Краснодар, ул. Западный Обход, 39/2с3",45.093868,38.905765,"Россия, Краснодар, улица Западный Обход, 39/2с3"
"Краснодарский край, Краснодар, пр. Репина, 5",45.075158,38.976427,"Россия, Краснодар, проезд Репина, 5"
"Транспортная ул., 65А",51.694066,39.206836,"Россия, Воронеж, Транспортная улица, 65А"
